creator_id,creator_name,player_id,player_tag,country,country_iso2,twitter,youtube,twitch,tiktok,instagram
c001371,Mago,21425,2UU28RVU,Spain,ES,https://twitter.com/magoangelESP,https://www.youtube.com/channel/UC0pTYXmMvlVEYk6GeHOW6xw,https://www.twitch.tv/magoangelESP,,
c001374,MarcianoTech,21435,GJG8L8U9,United States,US,https://twitter.com/MARCIANOPHONE,https://www.youtube.com/channel/UCCGiOPUPTlQupYmDMpUxB4A,,,
c001375,MaxwhisGamer,18126,QRLGJUGUG,Mexico,MX,https://twitter.com/MaxWhis,https://www.youtube.com/channel/UCbf6U2qiz-vODkjeSidO4gw,https://www.twitch.tv/maxwhis,https://www.tiktok.com/@maxwhisgamer,
c001376,Mayichi,17483,JQ9LLQRL8,Spain,ES,https://twitter.com/Mayichii,https://www.youtube.com/channel/UCbj2fqhdwB66kORY_x2kFFQ,https://www.twitch.tv/mayichi,https://www.tiktok.com/@mayichiii,
c001377,Michou,17357,2P0GGRLU,France,FR,https://twitter.com/Michoucroute_,https://www.youtube.com/channel/UCo3i0nUzZjjLuM7VjAVz4zA,https://www.twitch.tv/michou_twitch,,
c001378,Mickalow,18984,8LCULUV0,France,FR,https://twitter.com/Mickalow,https://www.youtube.com/channel/UCCqMS4fwmaM-yStTmQe2nfg,https://www.twitch.tv/mickalow,,
c001379,MikeShowSha,18938,82CQRU2L,Italy,IT,https://twitter.com/MikeShowSha,https://www.youtube.com/channel/UCfZFwPGOpbWk0z0Fk7tU6yA,https://www.twitch.tv/mikeshowsha,,
c001380,Miss Andie,21382,2R2JPCJU,Spain,ES,https://twitter.com/missandieftw,https://www.youtube.com/channel/UCcUM3k18KP-r9yKSjgS8iDA,https://www.twitch.tv/missandieftw_,https://www.tiktok.com/@missandieftw,
c001382,Moyorz87,21406,LJ22CGV2,Spain,ES,https://twitter.com/Moyorz87,https://www.youtube.com/channel/UC22xCwckTpFuWQ1yzA1t1xQ,https://www.twitch.tv/moyorz87,https://www.tiktok.com/@moyorz87,
c001383,MrStiven Tc,18900,J8LYR2Y0Y,Colombia,CO,,https://www.youtube.com/channel/UCwq-AEFGSdkSTeqcnBsgSlQ,https://www.twitch.tv/mrstiventc,,
