season_id,season_code,season_index,rank,player_name,player_tag,score,player_level,clan_name,clan_tag
103,2023-04,121,121,ガンギマリ❤️ラム婆,P29CLL0GP,2868,50,無限マルチ編,QPVL892J
103,2023-04,122,122,CAPGUN,GR9L9V2LU,2867,50,AK Syndicate,PPCLCJG9
103,2023-04,123,123,Reiju,2J0PVP9UG,2866,47,Indo Celestial,LJ08CC
103,2023-04,124,124,Ruhrpott I Omar,9922RJCP2,2862,50,HOLZFÄLLER,R09Q0RU
103,2023-04,125,125,Darkside,CRQPULJRJ,2859,49,Nova I Aryayi,9CCJ2R02
103,2023-04,126,126,Trainer Tobi｜芬斯,YRV9PUGUR,2858,50,,
103,2023-04,127,127,LB |̶Alexander愛,90G028UQU,2857,50,los lobitos,YY0QCUV8
103,2023-04,128,128,Viiper,U200V9P,2857,50,Pirates,RVPJJQP
103,2023-04,129,129,Kevin Cz,228RP22R8,2856,50,Clanpeyo,P9GRQ89P
103,2023-04,130,130,xopxmelonboy❤️,LQ02RJ00Q,2856,37,RoadtoMaxed,Q9QJQ8R9
103,2023-04,131,131,Seif,8RYL09VJ,2855,50,Fierce Force,QC8R0888
103,2023-04,132,132,☆ | íbx,2JRP0RY8R,2851,50,Veterans™️,GY2LPCQQ
103,2023-04,133,133,Jelen333,29PPQGLYY,2850,50,FC GROOTEGAST,JUGLL8
103,2023-04,134,134,じんたら,9VVCQYC9Y,2847,44,へいよー,QUJU8PCP
103,2023-04,135,135,馬耳 l batman,LP9PJV9RU,2847,50,馬の耳を見物,LCVU22VV
103,2023-04,136,136,らら,9UQ8RQR80,2845,50,夏眠,QPUUL00Y
103,2023-04,137,137,Hmble⚜️ErBacce™,J89JRRU,2844,50,,
103,2023-04,138,138,CaptainPrice,CUGLP2CG8,2844,43,TheImpactGaming,Q00G8VCG
103,2023-04,139,139,skeleton1elixir,2VVPUVL9V,2843,50,Mystic Esports™,Q8QCUC9Y
103,2023-04,140,140,Stardust｜繁星✨,RVCQ2CQGJ,2840,50,,
